主期,周涨,PR,HR,WXAB,波型,柱排周,盈提示,WXCD,ZA周,周龄,周键
,,-5.2,0.2,z丁↘忑-1.Y,5蛀.__Aa龙猪._初,错.未赋值,,屎降z↘,-1,,True
,,-2.43,2,z丁↘忑-2.Z-2,5蛀.__Aa龙猪._初,跌.尾连vW.W2,,屎降z↘,-2,,True
,,2.81,3.24,z丁↘忑-3.Z-3,5蛀.__Fa震正〇._初,跌.尾反孕Wo,,屎降z↘,-3,,True
,,-1.68,2.52,z丁↘忑-4.Z-4,9妩.__Fa震正〇._初,(跌)人.孕孕ov,,屎降z↘,-4,,True
,,-4.17,0.86,z丁↘忑-5.Z-5,9妩.__Fa震正〇._主,跌.尾连vW.W2,,屎降z↘,-5,,True
,,-3.46,0.67,z丁↘忑-6.Z-6,9妩.__Fa震正〇._主,跌.尾连WW.W3,,屎降z↘,-6,,True
,,-1.27,6.01,z丁↘忑-7.Z-7,9妩.__Fa震正〇._主,跌.尾连WW.W4,,屎降z↘,-7,,True
,,-3.86,0,z丁↘忑-8.Z-8,9妩.__Fa震正〇._主,跌.尾连WW.W5,,屎降z↘,-8,,True
,,-5.48,2.68,z丁↘忑-9.Z-9,9妩.__Fa震正〇._主,跌.尾连WW.W6,,屎降z↘,-9,,True
,,-8.63,0,z丁↘忑-10.Z-10,9妩.__Aa龙猪._主,跌.尾连WW.W7,,屎降z↘,-10,,True
,,7.62,7.76,z丁↘忑-11.Z-11,9妩.__Aa龙猪._主,跌.尾反孕Wo,,屎降z↘,-11,,True
,,-2.36,2.75,z丁↘忑-12.Z-12,9妩.__Aa龙猪._主,(跌)人.孕孕ov,,屎降z↘,-12,,True
